# LNF 面波速度拾取结果  20260527_165429
# dt=0.00025 s  dx=3.0 m
#   #     X0(m)     T0(s)     X1(m)     T1(s)      V(m/s)    |V|(m/s)
    1      86.2    0.0420      77.6    0.1138     -118.56      118.56
    2      85.9    0.0566      78.5    0.1523      -77.00       77.00
    3      78.3    0.1530      65.0    0.2598     -124.86      124.86
    4      64.6    0.2629      62.2    0.2758     -184.62      184.62
    5       0.5    0.2234       2.1    0.2165     -227.70      227.70
    6      65.4    0.0559      59.9    0.0670     -498.10      498.10
    7      54.9    0.0770      48.1    0.0926     -438.54      438.54
    8      47.5    0.0937      27.0    0.1419     -424.10      424.10
    9      23.2    0.1530      10.6    0.2033     -251.26      251.26
   10       9.6    0.2074       1.0    0.2341     -322.00      322.00
   11      90.1    0.0493      92.6    0.1041       46.44       46.44
   12      93.1    0.1096      95.1    0.1329       86.85       86.85
   13      97.9    0.1568     104.5    0.2373       81.79       81.79
   14     104.8    0.2411     107.2    0.2674       89.88       89.88
   15      94.6    0.0382     134.2    0.2591      179.53      179.53
   16     134.7    0.2622     136.6    0.2723      191.93      191.93

# 统计：最小=46.4  最大=498.1  均值=208.9  中位数=182.1 m/s
